#x	my spline	gnuplot's spline
-5.000	0.0384615	0.0384615
-4.975	0.0388687	0.0388687
-4.950	0.0392762	0.0392762
-4.925	0.0396845	0.0396845
-4.900	0.0400939	0.0400939
-4.875	0.0405049	0.0405049
-4.850	0.0409179	0.0409179
-4.825	0.0413332	0.0413332
-4.800	0.0417512	0.0417512
-4.775	0.0421723	0.0421723
-4.750	0.0425970	0.0425969
-4.725	0.0430255	0.0430255
-4.700	0.0434583	0.0434583
-4.675	0.0438957	0.0438957
-4.650	0.0443383	0.0443382
-4.625	0.0447862	0.0447862
-4.600	0.0452400	0.04524
-4.575	0.0457000	0.0457
-4.550	0.0461667	0.0461666
-4.525	0.0466403	0.0466403
-4.500	0.0471213	0.0471213
-4.475	0.0476101	0.0476101
-4.450	0.0481071	0.0481071
-4.425	0.0486127	0.0486126
-4.400	0.0491271	0.0491271
-4.375	0.0496509	0.0496509
-4.350	0.0501844	0.0501844
-4.325	0.0507279	0.0507278
-4.300	0.0512814	0.0512813
-4.275	0.0518452	0.0518451
-4.250	0.0524194	0.0524194
-4.225	0.0530043	0.0530043
-4.200	0.0536001	0.0536
-4.175	0.0542069	0.0542068
-4.150	0.0548249	0.0548248
-4.125	0.0554543	0.0554542
-4.100	0.0560953	0.0560952
-4.075	0.0567480	0.056748
-4.050	0.0574128	0.0574127
-4.025	0.0580896	0.0580895
-4.000	0.0587788	0.0587787
-3.975	0.0594806	0.0594805
-3.950	0.0601950	0.0601949
-3.925	0.0609223	0.0609222
-3.900	0.0616627	0.0616626
-3.875	0.0624164	0.0624163
-3.850	0.0631835	0.0631834
-3.825	0.0639643	0.0639641
-3.800	0.0647588	0.0647587
-3.775	0.0655674	0.0655673
-3.750	0.0663902	0.06639
-3.725	0.0672274	0.0672273
-3.700	0.0680795	0.0680793
-3.675	0.0689469	0.0689467
-3.650	0.0698302	0.06983
-3.625	0.0707297	0.0707296
-3.600	0.0716461	0.0716459
-3.575	0.0725797	0.0725795
-3.550	0.0735311	0.0735309
-3.525	0.0745008	0.0745005
-3.500	0.0754891	0.0754889
-3.475	0.0764967	0.0764964
-3.450	0.0775239	0.0775237
-3.425	0.0785713	0.0785711
-3.400	0.0796394	0.0796391
-3.375	0.0807286	0.0807283
-3.350	0.0818393	0.0818391
-3.325	0.0829722	0.082972
-3.300	0.0841277	0.0841274
-3.275	0.0853062	0.0853059
-3.250	0.0865083	0.086508
-3.225	0.0877344	0.0877341
-3.200	0.0889850	0.0889846
-3.175	0.0902606	0.0902602
-3.150	0.0915616	0.0915613
-3.125	0.0928886	0.0928882
-3.100	0.0942422	0.0942418
-3.075	0.0956234	0.095623
-3.050	0.0970336	0.0970332
-3.025	0.0984741	0.0984736
-3.000	0.0999459	0.0999455
-2.975	0.1014506	0.10145
-2.950	0.1029892	0.102989
-2.925	0.1045630	0.104563
-2.900	0.1061734	0.106173
-2.875	0.1078215	0.107821
-2.850	0.1095087	0.109508
-2.825	0.1112361	0.111236
-2.800	0.1130051	0.113005
-2.775	0.1148169	0.114816
-2.750	0.1166728	0.116672
-2.725	0.1185739	0.118573
-2.700	0.1205217	0.120521
-2.675	0.1225173	0.122517
-2.650	0.1245620	0.124561
-2.625	0.1266571	0.126656
-2.600	0.1288038	0.128803
-2.575	0.1310034	0.131003
-2.550	0.1332571	0.133256
-2.525	0.1355662	0.135565
-2.500	0.1379319	0.137931
-2.475	0.1403558	0.140355
-2.450	0.1428397	0.142839
-2.425	0.1453857	0.145385
-2.400	0.1479961	0.147995
-2.375	0.1506730	0.150672
-2.350	0.1534185	0.153417
-2.325	0.1562346	0.156233
-2.300	0.1591237	0.159122
-2.275	0.1620877	0.162086
-2.250	0.1651289	0.165128
-2.225	0.1682494	0.168248
-2.200	0.1714513	0.17145
-2.175	0.1747367	0.174735
-2.150	0.1781078	0.178106
-2.125	0.1815667	0.181565
-2.100	0.1851155	0.185114
-2.075	0.1887565	0.188755
-2.050	0.1924917	0.19249
-2.025	0.1963232	0.196321
-2.000	0.2002532	0.200251
-1.975	0.2042838	0.204282
-1.950	0.2084172	0.208415
-1.925	0.2126555	0.212654
-1.900	0.2170008	0.216999
-1.875	0.2214553	0.221453
-1.850	0.2260221	0.22602
-1.825	0.2307084	0.230706
-1.800	0.2355223	0.23552
-1.775	0.2404720	0.24047
-1.750	0.2455657	0.245563
-1.725	0.2508115	0.250809
-1.700	0.2562177	0.256215
-1.675	0.2617923	0.26179
-1.650	0.2675435	0.267541
-1.625	0.2734795	0.273477
-1.600	0.2796085	0.279606
-1.575	0.2859386	0.285936
-1.550	0.2924780	0.292475
-1.525	0.2992349	0.299232
-1.500	0.3062174	0.306214
-1.475	0.3134336	0.31343
-1.450	0.3208919	0.320889
-1.425	0.3286002	0.328597
-1.400	0.3365669	0.336563
-1.375	0.3448000	0.344796
-1.350	0.3533077	0.353304
-1.325	0.3620982	0.362094
-1.300	0.3711796	0.371176
-1.275	0.3805602	0.380556
-1.250	0.3902481	0.390244
-1.225	0.4002489	0.400245
-1.200	0.4105593	0.410555
-1.175	0.4211728	0.421168
-1.150	0.4320836	0.432079
-1.125	0.4432855	0.443281
-1.100	0.4547725	0.454768
-1.075	0.4665385	0.466534
-1.050	0.4785774	0.478572
-1.025	0.4908831	0.490878
-1.000	0.5034496	0.503444
-0.975	0.5162708	0.516265
-0.950	0.5293406	0.529335
-0.925	0.5426530	0.542647
-0.900	0.5562017	0.556196
-0.875	0.5699809	0.569975
-0.850	0.5839844	0.583979
-0.825	0.5982062	0.5982
-0.800	0.6126400	0.612634
-0.775	0.6272800	0.627274
-0.750	0.6421200	0.642114
-0.725	0.6571540	0.657148
-0.700	0.6723757	0.67237
-0.675	0.6877793	0.687773
-0.650	0.7033585	0.703352
-0.625	0.7191075	0.719101
-0.600	0.7350103	0.735004
-0.575	0.7510129	0.751007
-0.550	0.7670517	0.767045
-0.525	0.7830626	0.783056
-0.500	0.7989823	0.798976
-0.475	0.8147467	0.81474
-0.450	0.8302920	0.830286
-0.425	0.8455548	0.845549
-0.400	0.8604711	0.860465
-0.375	0.8749773	0.874972
-0.350	0.8890094	0.889004
-0.325	0.9025040	0.902499
-0.300	0.9153970	0.915392
-0.275	0.9276250	0.92762
-0.250	0.9391240	0.93912
-0.225	0.9498304	0.949826
-0.200	0.9596804	0.959677
-0.175	0.9686102	0.968607
-0.150	0.9765562	0.976553
-0.125	0.9834544	0.983452
-0.100	0.9892413	0.989239
-0.075	0.9938531	0.993851
-0.050	0.9972259	0.997225
-0.025	0.9992961	0.999296
 0.000	1.0000000	1
 0.025	0.9992951	0.999296
 0.050	0.9972236	0.997225
 0.075	0.9938499	0.993851
 0.100	0.9892372	0.989239
 0.125	0.9834493	0.983452
 0.150	0.9765502	0.976553
 0.175	0.9686034	0.968607
 0.200	0.9596729	0.959677
 0.225	0.9498221	0.949826
 0.250	0.9391152	0.93912
 0.275	0.9276155	0.92762
 0.300	0.9153870	0.915392
 0.325	0.9024934	0.902499
 0.350	0.8889984	0.889004
 0.375	0.8749658	0.874972
 0.400	0.8604593	0.860465
 0.425	0.8455427	0.845549
 0.450	0.8302797	0.830286
 0.475	0.8147341	0.81474
 0.500	0.7989696	0.798976
 0.525	0.7830499	0.783056
 0.550	0.7670389	0.767045
 0.575	0.7510002	0.751007
 0.600	0.7349976	0.735004
 0.625	0.7190949	0.719101
 0.650	0.7033461	0.703352
 0.675	0.6877669	0.687773
 0.700	0.6723635	0.67237
 0.725	0.6571418	0.657148
 0.750	0.6421081	0.642114
 0.775	0.6272682	0.627274
 0.800	0.6126285	0.612634
 0.825	0.5981947	0.5982
 0.850	0.5839731	0.583979
 0.875	0.5699698	0.569975
 0.900	0.5561908	0.556196
 0.925	0.5426422	0.542647
 0.950	0.5293301	0.529335
 0.975	0.5162604	0.516265
 1.000	0.5034394	0.503444
 1.025	0.4908732	0.490878
 1.050	0.4785677	0.478572
 1.075	0.4665290	0.466534
 1.100	0.4547632	0.454768
 1.125	0.4432765	0.443281
 1.150	0.4320747	0.432079
 1.175	0.4211642	0.421168
 1.200	0.4105509	0.410555
 1.225	0.4002408	0.400245
 1.250	0.3902402	0.390244
 1.275	0.3805526	0.380556
 1.300	0.3711722	0.371176
 1.325	0.3620910	0.362094
 1.350	0.3533008	0.353304
 1.375	0.3447933	0.344796
 1.400	0.3365604	0.336563
 1.425	0.3285940	0.328597
 1.450	0.3208858	0.320889
 1.475	0.3134277	0.31343
 1.500	0.3062117	0.306214
 1.525	0.2992294	0.299232
 1.550	0.2924727	0.292475
 1.575	0.2859334	0.285936
 1.600	0.2796035	0.279606
 1.625	0.2734746	0.273477
 1.650	0.2675388	0.267541
 1.675	0.2617877	0.26179
 1.700	0.2562132	0.256215
 1.725	0.2508073	0.250809
 1.750	0.2455616	0.245563
 1.775	0.2404680	0.24047
 1.800	0.2355184	0.23552
 1.825	0.2307046	0.230706
 1.850	0.2260184	0.22602
 1.875	0.2214517	0.221453
 1.900	0.2169973	0.216999
 1.925	0.2126521	0.212654
 1.950	0.2084139	0.208415
 1.975	0.2042805	0.204282
 2.000	0.2002500	0.200251
 2.025	0.1963200	0.196321
 2.050	0.1924886	0.19249
 2.075	0.1887535	0.188755
 2.100	0.1851126	0.185114
 2.125	0.1815638	0.181565
 2.150	0.1781050	0.178106
 2.175	0.1747340	0.174735
 2.200	0.1714486	0.17145
 2.225	0.1682468	0.168248
 2.250	0.1651264	0.165128
 2.275	0.1620853	0.162086
 2.300	0.1591213	0.159122
 2.325	0.1562323	0.156233
 2.350	0.1534162	0.153417
 2.375	0.1506708	0.150672
 2.400	0.1479940	0.147995
 2.425	0.1453836	0.145385
 2.450	0.1428376	0.142839
 2.475	0.1403538	0.140355
 2.500	0.1379300	0.137931
 2.525	0.1355643	0.135565
 2.550	0.1332552	0.133256
 2.575	0.1310016	0.131003
 2.600	0.1288020	0.128803
 2.625	0.1266554	0.126656
 2.650	0.1245604	0.124561
 2.675	0.1225157	0.122517
 2.700	0.1205201	0.120521
 2.725	0.1185724	0.118573
 2.750	0.1166712	0.116672
 2.775	0.1148154	0.114816
 2.800	0.1130037	0.113005
 2.825	0.1112347	0.111236
 2.850	0.1095073	0.109508
 2.875	0.1078202	0.107821
 2.900	0.1061721	0.106173
 2.925	0.1045617	0.104563
 2.950	0.1029879	0.102989
 2.975	0.1014493	0.10145
 3.000	0.0999447	0.0999455
 3.025	0.0984729	0.0984736
 3.050	0.0970325	0.0970332
 3.075	0.0956223	0.095623
 3.100	0.0942411	0.0942418
 3.125	0.0928875	0.0928882
 3.150	0.0915606	0.0915613
 3.175	0.0902595	0.0902602
 3.200	0.0889840	0.0889846
 3.225	0.0877334	0.0877341
 3.250	0.0865073	0.086508
 3.275	0.0853053	0.0853059
 3.300	0.0841268	0.0841274
