# Relative error in y(x = 5) while solving dy/dx = -xy
N	"Euler method"	"Runge-Kutta 2nd order"	"Runge-Kutta 4th order"
100	0.650624034868401	0.078503260971040	0.000162106614668	
150	0.487108083274091	0.032478426435792	0.000030168032471	
200	0.386939755559645	0.017691412556288	0.000009265733083	
250	0.320340414532580	0.011118444837222	0.000003728217499	
300	0.273089814324143	0.007631424022519	0.000001776727150	
350	0.237897351236124	0.005561305668965	0.000000950939142	
400	0.210696826843450	0.004232432098901	0.000000553892037	
450	0.189055387613590	0.003328809030116	0.000000344087698	
500	0.171432613330680	0.002686548804916	0.000000224865521	
550	0.156807281784663	0.002213751766045	0.000000153090320	
600	0.144476284669936	0.001855635549540	0.000000107801200	
650	0.133940009601008	0.001577894237906	0.000000078088215	
700	0.124833833296587	0.001358154663813	0.000000057942662	
750	0.116885491695374	0.001181320519060	0.000000043894416	
800	0.109887619727322	0.001036906118289	0.000000033857198	
850	0.103679525252629	0.000917444133598	0.000000026531952	
900	0.098134771415159	0.000817499864557	0.000000021084849	
950	0.093152519188382	0.000733041649923	0.000000016966725	
1000	0.088651366850958	0.000661027597200	0.000000013806624	
