# Growth rate = 4.0000
# Number of generations	Populations
1025	0.057884
1026	0.218134
1027	0.682207
1028	0.867202
1029	0.460650
1030	0.993806
1031	0.024621
1032	0.096060
1033	0.347331
1034	0.906769
1035	0.338157
1036	0.895228
1037	0.375180
1038	0.937680
1039	0.233744
1040	0.716431
1041	0.812630
1042	0.609049
1043	0.952433
1044	0.181216
1045	0.593508
1046	0.965025
1047	0.135006
1048	0.467118
1049	0.995675
1050	0.017225
1051	0.067712
1052	0.252509
1053	0.754994
1054	0.739913
1055	0.769767
1056	0.708902
1057	0.825439
1058	0.576357
1059	0.976678
1060	0.091111
1061	0.331239
1062	0.886079
1063	0.403772
1064	0.962961
1065	0.142670
1066	0.489262
1067	0.999539
1068	0.001844
1069	0.007363
1070	0.029234
1071	0.113519
1072	0.402529
1073	0.961997
1074	0.146234
1075	0.499398
1076	0.999999
1077	0.000006
1078	0.000023
1079	0.000093
1080	0.000371
1081	0.001485
1082	0.005932
1083	0.023589
1084	0.092129
1085	0.334565
1086	0.890525
1087	0.389960
1088	0.951565
1089	0.184357
1090	0.601477
1091	0.958810
1092	0.157974
1093	0.532074
1094	0.995885
1095	0.016392
1096	0.064494
1097	0.241340
1098	0.732379
1099	0.783999
1100	0.677378
1101	0.874148
1102	0.440052
1103	0.985625
1104	0.056674
1105	0.213849
1106	0.672471
1107	0.881015
1108	0.419309
1109	0.973956
1110	0.101462
1111	0.364671
1112	0.926744
1113	0.271559
1114	0.791258
1115	0.660674
1116	0.896736
1117	0.370404
1118	0.932819
1119	0.250670
1120	0.751339
1121	0.747316
1122	0.755340
1123	0.739207
1124	0.771120
1125	0.705975
1126	0.830297
1127	0.563615
1128	0.983813
1129	0.063701
1130	0.238574
1131	0.726627
1132	0.794561
1133	0.652934
1134	0.906444
1135	0.339212
1136	0.896589
1137	0.370868
1138	0.933299
1139	0.249007
1140	0.748010
1141	0.753964
1142	0.742009
1143	0.765727
1144	0.717557
1145	0.810675
1146	0.613924
1147	0.948085
1148	0.196879
1149	0.632471
1150	0.929806
1151	0.261068
