# Growth rate = 3.5000
# Number of generations	Populations
1025	0.826941
1026	0.500884
1027	0.874997
1028	0.382820
1029	0.826941
1030	0.500884
1031	0.874997
1032	0.382820
1033	0.826941
1034	0.500884
1035	0.874997
1036	0.382820
1037	0.826941
1038	0.500884
1039	0.874997
1040	0.382820
1041	0.826941
1042	0.500884
1043	0.874997
1044	0.382820
1045	0.826941
1046	0.500884
1047	0.874997
1048	0.382820
1049	0.826941
1050	0.500884
1051	0.874997
1052	0.382820
1053	0.826941
1054	0.500884
1055	0.874997
1056	0.382820
1057	0.826941
1058	0.500884
1059	0.874997
1060	0.382820
1061	0.826941
1062	0.500884
1063	0.874997
1064	0.382820
1065	0.826941
1066	0.500884
1067	0.874997
1068	0.382820
1069	0.826941
1070	0.500884
1071	0.874997
1072	0.382820
1073	0.826941
1074	0.500884
1075	0.874997
1076	0.382820
1077	0.826941
1078	0.500884
1079	0.874997
1080	0.382820
1081	0.826941
1082	0.500884
1083	0.874997
1084	0.382820
1085	0.826941
1086	0.500884
1087	0.874997
1088	0.382820
1089	0.826941
1090	0.500884
1091	0.874997
1092	0.382820
1093	0.826941
1094	0.500884
1095	0.874997
1096	0.382820
1097	0.826941
1098	0.500884
1099	0.874997
1100	0.382820
1101	0.826941
1102	0.500884
1103	0.874997
1104	0.382820
1105	0.826941
1106	0.500884
1107	0.874997
1108	0.382820
1109	0.826941
1110	0.500884
1111	0.874997
1112	0.382820
1113	0.826941
1114	0.500884
1115	0.874997
1116	0.382820
1117	0.826941
1118	0.500884
1119	0.874997
1120	0.382820
1121	0.826941
1122	0.500884
1123	0.874997
1124	0.382820
1125	0.826941
1126	0.500884
1127	0.874997
1128	0.382820
1129	0.826941
1130	0.500884
1131	0.874997
1132	0.382820
1133	0.826941
1134	0.500884
1135	0.874997
1136	0.382820
1137	0.826941
1138	0.500884
1139	0.874997
1140	0.382820
1141	0.826941
1142	0.500884
1143	0.874997
1144	0.382820
1145	0.826941
1146	0.500884
1147	0.874997
1148	0.382820
1149	0.826941
1150	0.500884
1151	0.874997
1152	0.382820
1153	0.826941
1154	0.500884
1155	0.874997
1156	0.382820
1157	0.826941
1158	0.500884
1159	0.874997
1160	0.382820
1161	0.826941
1162	0.500884
1163	0.874997
1164	0.382820
1165	0.826941
1166	0.500884
1167	0.874997
1168	0.382820
1169	0.826941
1170	0.500884
1171	0.874997
1172	0.382820
1173	0.826941
1174	0.500884
1175	0.874997
1176	0.382820
1177	0.826941
1178	0.500884
1179	0.874997
1180	0.382820
1181	0.826941
1182	0.500884
1183	0.874997
1184	0.382820
1185	0.826941
1186	0.500884
1187	0.874997
1188	0.382820
1189	0.826941
1190	0.500884
1191	0.874997
1192	0.382820
1193	0.826941
1194	0.500884
1195	0.874997
1196	0.382820
1197	0.826941
1198	0.500884
1199	0.874997
1200	0.382820
1201	0.826941
1202	0.500884
1203	0.874997
1204	0.382820
1205	0.826941
1206	0.500884
1207	0.874997
1208	0.382820
1209	0.826941
1210	0.500884
1211	0.874997
1212	0.382820
1213	0.826941
1214	0.500884
1215	0.874997
1216	0.382820
1217	0.826941
1218	0.500884
1219	0.874997
1220	0.382820
1221	0.826941
1222	0.500884
1223	0.874997
1224	0.382820
1225	0.826941
1226	0.500884
1227	0.874997
1228	0.382820
1229	0.826941
1230	0.500884
1231	0.874997
1232	0.382820
1233	0.826941
1234	0.500884
1235	0.874997
1236	0.382820
1237	0.826941
1238	0.500884
1239	0.874997
1240	0.382820
1241	0.826941
1242	0.500884
1243	0.874997
1244	0.382820
1245	0.826941
1246	0.500884
1247	0.874997
1248	0.382820
1249	0.826941
1250	0.500884
1251	0.874997
1252	0.382820
1253	0.826941
1254	0.500884
1255	0.874997
1256	0.382820
1257	0.826941
1258	0.500884
1259	0.874997
1260	0.382820
1261	0.826941
1262	0.500884
1263	0.874997
1264	0.382820
1265	0.826941
1266	0.500884
1267	0.874997
1268	0.382820
1269	0.826941
1270	0.500884
1271	0.874997
1272	0.382820
1273	0.826941
1274	0.500884
1275	0.874997
1276	0.382820
1277	0.826941
1278	0.500884
1279	0.874997
1280	0.382820
1281	0.826941
1282	0.500884
1283	0.874997
1284	0.382820
1285	0.826941
1286	0.500884
1287	0.874997
1288	0.382820
1289	0.826941
1290	0.500884
1291	0.874997
1292	0.382820
1293	0.826941
1294	0.500884
1295	0.874997
1296	0.382820
1297	0.826941
1298	0.500884
1299	0.874997
1300	0.382820
1301	0.826941
1302	0.500884
1303	0.874997
1304	0.382820
1305	0.826941
1306	0.500884
1307	0.874997
1308	0.382820
1309	0.826941
1310	0.500884
1311	0.874997
1312	0.382820
1313	0.826941
1314	0.500884
1315	0.874997
1316	0.382820
1317	0.826941
1318	0.500884
1319	0.874997
1320	0.382820
1321	0.826941
1322	0.500884
1323	0.874997
1324	0.382820
1325	0.826941
1326	0.500884
